author,year,Isotropy,regularity_x,regularity_y,Le_rel,p_periodic,dimension,type,mtype,hassdf
koppel,2008,isotropic,0.6113873,0.4900582,16.3410167428795,0.894465684890747,2,nature,,1
koppel,2008,isotropic,0.6623455,0.6044204,6.88042810226506,0.345626831054688,2,nature,,1
koppel,2008,isotropic,0.2330803,0.4513007,0.860053512783133,0.0735388994216919,2,nature,,1
koppel,2008,isotropic,0.2980904,0.9558442,9.46058864061446,0.005,2,nature,,1
koppel,2008,isotropic,0.9210107,0.4904317,5.316,0.074438750743866,2,model,homogeneous,1
gandhi,2020,anisotropic,0.6057659,1.265398,7.51084563567621,0.839675009250641,2,nature,,1
voullieme,2020,isotropic,1.680156,NaN,4.43,0.164471387863159,2,model,homogeneous,1
voullieme,2020,isotropic,3.070334,0.4627173,6.202,0.0100780725479126,2,model,homogeneous,1
voullieme,2020,isotropic,2.788781,0.5114821,7.088,0.000493884086608887,2,model,homogeneous,1
voullieme,2020,isotropic,2.590354,0.5761362,6.202,0.0370985865592957,2,model,homogeneous,1
voullieme,2020,isotropic,2.056253,0.4012325,6.202,0.00300359725952148,2,model,homogeneous,1
deblauwe,2008,isotropic,0.4201582,0.3857363,4.72965583421076,0.973497807979584,2,nature,,1
deblauwe,2008,isotropic,0.5033804,0.3586087,3.14944316642122,0.354466438293457,2,nature,,1
deblauwe,2008,anisotropic,1.802746,0.7369397,24.5875910544386,0.649689495563507,2,nature,,1
deblauwe,2008,isotropic,1.043006,0.2897876,12.9253498180428,0.501857995986938,2,nature,,1
deblauwe,2008,anisotropic,0.6407119,0.435023,9.05860227617841,0.657705903053284,2,nature,,1
eppinga,2019,anisotropic,3.600883,0.6192579,13.0791024689063,0.432566523551941,1,model,homogeneous,1
yizhaq,2021,isotropic,2.295442,0.8351888,5.31585049770262,0.00384843349456787,2,model,homogeneous,1
yizhaq,2021,isotropic,1.254469,0.5642714,5.31572563653708,0.697324752807617,2,model,homogeneous,1
dunkerley,2002,anisotropic,0.7001789,1.312448,11.1991412788696,0.385633289813995,2,nature,,1
garcia,2021,isotropic,0.8304164,5.778171,11.2377065006666,0.183121383190155,2,nature,,1
garcia,2021,isotropic,0.7901489,0.6852534,15.6727757038903,0.0559591054916382,2,nature,,1
garcia,2021,isotropic,0.6846499,0.5717531,17.3225415674578,0.418362021446228,2,nature,,1
garcia,2021,anisotropic,0.9255064,0.5154583,14.9741593622675,0.860139191150665,2,nature,,1
lejeune,2002,anisotropic,0.4799515,0.3199863,15.0347620454312,0.555509090423584,2,nature,,1
gilad,2007,isotropic,1.893349,0.457219,4.42995640637647,0.0930330157279968,2,model,homogeneous,1
gilad,2007,isotropic,2.064805,0.545711,4.43,0.0197485089302063,2,model,homogeneous,1
gilad,2007,isotropic,2.974145,0.4755144,5.3159482672855,0.005,2,model,homogeneous,1
gilad,2007,anisotropic,2.310238,0.4517889,2.65797254118048,0.005,2,model,homogeneous,1
gilad,2007,isotropic,1.746391,0.4696088,3.54397691267287,0.005,2,model,homogeneous,1
borgogno,2009,isotropic,7.440073,3.252377,19.491889189548,0.005,2,model,homogeneous,1
borgogno,2009,anisotropic,9.469815,0.5055434,10.6301045394869,0,2,model,homogeneous,1
borgogno,2009,anisotropic,1.373758,0.5384467,32.2675706956377,0.743805050849915,2,nature,,1
borgogno,2009,anisotropic,1.155498,0.475612,8.69283862027462,0.227061569690704,2,model,homogeneous,1
borgogno,2009,anisotropic,1.042653,0.4375658,14.1526417084874,0.99031400680542,2,model,homogeneous,1
borgogno,2009,anisotropic,0.5482247,1.00305,8.59695221848232,0.016836941242218,2,model,homogeneous,1
borgogno,2009,anisotropic,1.308926,0.3475877,20.4540614645966,0.938404500484467,2,nature,,1
borgogno,2009,anisotropic,0.9692417,0.5752696,17.9324485340579,0.789677619934082,2,model,homogeneous,1
borgogno,2009,anisotropic,0.9251724,0.5086397,44.1896871216841,0.0564246773719788,2,model,homogeneous,1
borgogno,2009,anisotropic,0.2934077,0.3955834,10.7333325284303,0.123771011829376,2,nature,,1
borgogno,2009,isotropic,0.954928,1.987707,40.1131964479815,0.0196359753608704,2,nature,,1
borgogno,2009,isotropic,0.8452991,1.418986,21.2943847423786,0.358305156230927,2,nature,,1
borgogno,2009,isotropic,0.7068815,0.7375801,11.060639801381,0.371773421764374,2,nature,,1
borgogno,2009,isotropic,1.046219,0.3924869,17.5610519093177,0.559090852737427,2,nature,,1
borgogno,2009,isotropic,0.6456667,0.5004256,16.573061621127,0.534636199474335,2,nature,,1
borgogno,2009,isotropic,0.4841249,0.5877006,10.868610479809,0.396052658557892,2,nature,,1
borgogno,2009,isotropic,0.6601769,0.4788615,23.360893099292,0.895782947540283,2,nature,,1
borgogno,2009,isotropic,0.2919009,0.5072019,5.19343389952237,0.603719770908356,2,nature,,1
borgogno,2009,isotropic,12.38081,0.5207037,19.4919725299515,0.005,2,model,homogeneous,1
hinz,2012,anisotropic,0.5291333,0.4658903,12.8324827204815,0.65567684173584,2,nature,,1
hinz,2012,anisotropic,1.289572,0.7211317,8.17351505430916,0.990104794502258,2,model,homogeneous,1
thiery,NaN,anisotropic,0.716301,22.86366,10.9472280045801,0.502254128456116,2,nature,,1
thiery,NaN,anisotropic,0.7282254,1.741984,4.13086081534904,0.005,2,model,homogeneous,1
thiery,NaN,anisotropic,1.139849,1.219925,4.93955263841874,0.005,2,model,homogeneous,1
thiery,NaN,anisotropic,1.308945,1.099522,5.30518378107129,0.005,2,model,homogeneous,1
thiery,NaN,anisotropic,1.62202,0.09411404,4.41174184631682,0.13718318939209,2,model,homogeneous,1
thiery,NaN,anisotropic,1.47416,NaN,4.36230798159793,0.363465011119843,2,model,homogeneous,1
thiery,NaN,anisotropic,1.200961,0.3828861,4.42627339006932,0.258298516273499,2,model,homogeneous,1
wang,2009,anisotropic,2.244315,0.5129221,6.18802140625964,0.1164191365242,2,model,homogeneous,1
wang,2009,anisotropic,1.991603,0.4800526,6.19646041531887,0.131238579750061,2,model,homogeneous,1
wang,2009,anisotropic,1.706824,0.394514,5.31565269771516,0.2948197722435,2,model,homogeneous,1
wang,2009,anisotropic,0.4010041,0.4964083,12.4017069941946,0.794591784477234,2,nature,,1
kabir,2022,isotropic,1.498833,0.5414767,3.54399360461852,0.005,2,model,homogeneous,1
kabir,2022,isotropic,1.645409,0.4890446,3.54383143469713,0.005,2,model,homogeneous,1
eppinga,2009,isotropic,1.088238,0.5046808,5.19858205654853,0.0337086319923401,2,model,homogeneous,1
eppinga,2009,isotropic,1.742743,0.5116723,18.1950371979199,0.0303696393966675,2,model,homogeneous,1
eppinga,2009,isotropic,0.5761304,0.3958821,5.1980733670835,0.78393030166626,2,model,homogeneous,1
eppinga,2009,isotropic,1.519701,0.3893271,11.2648663330788,0.800670266151428,2,model,homogeneous,1
eppinga,2009,anisotropic,1.567334,0.4034002,6.81283339582949,0.80630487203598,2,model,homogeneous,1
eppinga,2009,anisotropic,9.549649,0.5444093,25.6362109195757,0.005,2,model,homogeneous,1
eppinga,2009,anisotropic,0.2490632,1.255568,1.71032885505902,0.0750754475593567,2,model,homogeneous,1
eppinga,2009,anisotropic,3.568668,0.4496399,11.1151036649645,0.0470481514930725,2,model,homogeneous,1
liu,2014,anisotropic,0.3131705,0.3988989,7.88051675585547,0.575366139411926,2,nature,,1
liu,2014,anisotropic,0.7883137,0.4915847,5.14368538331498,0.005,2,model,homogeneous,1
liu,2014,anisotropic,1.276092,0.3491759,5.14088660294908,0.005,2,model,homogeneous,1
liu,2014,anisotropic,0.1482814,0.525534,1.74919477757493,0.00314569473266602,2,model,homogeneous,1
liu,2014,anisotropic,0,0.4036347,0,0.99045592546463,2,model,homogeneous,1
liu,2014,anisotropic,0.01818342,0.459393,0.885139052221091,0.005,2,model,homogeneous,1
page,2003,anisotropic,3.507978,0.4741576,3.4994302601592,0.18215149641037,1,model,homogeneous,1
hardenberg,2010,isotropic,1.3484,0.4354361,10.632,0.368823051452637,2,model,homogeneous,1
